"window","bed","books","ceiling","chair","floor","furniture","objects","picture","sofa","table","tv","wall"
"0.7412149310112","0.0028094956651329994","0.0002604986366350204","0.0049943639896810055","0.001942541915923357","0.001901679439470172","0.05306166782975197","0.07458217442035675","0.005816526245325804","0.0012129100505262613","0.00025647133588790894","0.0036517942789942026","0.10829494893550873"
"0.0007988815777935088","0.7467893362045288","0.0001781529135769233","0","0.008311077021062374","0.03851104527711868","0.053815603256225586","0.10036256909370422","0.0006566033116541803","0.032041653990745544","0.005633414722979069","0.0010553729953244328","0.011846314184367657"
"0.006123320199549198","0.0031339351553469896","0.43896961212158203","0","0.006772659718990326","0.002251498866826296","0.3046826720237732","0.1913047432899475","0.019822271540760994","0.004804206546396017","0.018889885395765305","0.00026034138863906264","0.002984844148159027"
"0.008373264223337173","0.0003893370449077338","0.000011234601515752729","0.7939515709877014","0","0","0.02053840085864067","0.01986471191048622","0.0008344596717506647","0.0006086054490879178","0.000014333802027977072","0.0000042614005906216335","0.1554097831249237"
"0.003212653798982501","0.007735391613095999","0.0002813091268762946","0","0.684159517288208","0.0217411108314991","0.039574068039655685","0.13377483189105988","0.0006816336535848677","0.0503084659576416","0.03484408184885979","0.0171933826059103","0.006493577733635902"
"0.0006881004082970321","0.010674073360860348","0.0006951680406928062","0.000033914355299202725","0.016598865389823914","0.9111633896827698","0.019838016480207443","0.021492600440979004","0.00005852387403137982","0.006841293070465326","0.005194743629544973","0.0000219655194086954","0.006699279882013798"
"0.01606878638267517","0.013512765057384968","0.020328892394900322","0.0021989205852150917","0.01226770132780075","0.018443334847688675","0.6847653985023499","0.10928728431463242","0.0094312634319067","0.011997034773230553","0.011177651584148407","0.002930328482761979","0.08759057521820068"
"0.03780832886695862","0.028948228806257248","0.005663561634719372","0.007693375926464796","0.015440172515809536","0.012237949296832085","0.10877151787281036","0.6409158706665039","0.030038468539714813","0.01886662282049656","0.01038277056068182","0.00533859059214592","0.07789446413516998"
"0.01703612506389618","0.00018373956845607609","0.004753666464239359","0.0006606468232348561","0.0017216239357367158","0.000772113970015198","0.04287770017981529","0.1427665501832962","0.7400375008583069","0.00011214683763682842","0.0006155615556053817","0.0003939865855500102","0.04806862771511078"
"0.0026448280550539494","0.05513465777039528","0.0000774269865360111","0","0.040672656148672104","0.025926539674401283","0.041320741176605225","0.13054966926574707","0.00021543492039199919","0.6774424314498901","0.01153467781841755","0.0002935098309535533","0.014187443070113659"
"0.00469607999548316","0.018574414774775505","0.0016270801424980164","0.0003690560406539589","0.05859934911131859","0.06503540277481079","0.3285227119922638","0.12871690094470978","0.00528671033680439","0.01571827195584774","0.35131675004959106","0.0011462528491392732","0.020391013473272324"
"0.08152318745851517","0.0005296847084537148","0.00000823953996587079","0","0.001671449514105916","0.0008451413596048951","0.04985274747014046","0.22044183313846588","0.03382684290409088","0.00045317469630390406","0.0002895609650295228","0.5596189498901367","0.05093919113278389"
"0.030212007462978363","0.0009787211893126369","0.0001309513463638723","0.010124367661774158","0.0022156035993248224","0.006077939178794622","0.04245199263095856","0.04200217127799988","0.011108013801276684","0.001178350648842752","0.0006418201373890042","0.00036681172787211835","0.8525112867355347"
