metric,value,step
test/segmentation/MulticlassJaccardIndex/table,0.3050462603569031,900.0
test/segmentation/MulticlassJaccardIndex/tv,0.3533114492893219,900.0
test/segmentation/MulticlassJaccardIndex/wall,0.601226270198822,900.0
test/segmentation/MulticlassAccuracy/window,0.7178061008453369,900.0
test/segmentation/MulticlassAccuracy/bed,0.8011541962623596,900.0
test/segmentation/MulticlassAccuracy/books,0.7159327268600464,900.0
test/segmentation/MulticlassAccuracy/ceiling,0.8156903386116028,900.0
test/segmentation/MulticlassAccuracy/chair,0.48612987995147705,900.0
test/segmentation/MulticlassAccuracy/floor,0.8750102519989014,900.0
test/segmentation/MulticlassAccuracy/furniture,0.5230739712715149,900.0
test/segmentation/MulticlassAccuracy/objects,0.37032729387283325,900.0
test/segmentation/MulticlassAccuracy/picture,0.8056058287620544,900.0
test/segmentation/MulticlassAccuracy/sofa,0.8451716899871826,900.0
test/segmentation/MulticlassAccuracy/table,0.46804535388946533,900.0
test/segmentation/MulticlassAccuracy/tv,0.7344391345977783,900.0
test/segmentation/MulticlassAccuracy/wall,0.6715622544288635,900.0
test/segmentation/macro/MulticlassJaccardIndex,0.4110998511314392,900.0
test/segmentation/macro/MulticlassAccuracy,0.6792268753051758,900.0
epoch,5.0,900.0
