metric,value,step
test/segmentation/MulticlassAccuracy/floor,0.8175498247146606,700.0
test/segmentation/MulticlassAccuracy/furniture,0.38337042927742004,700.0
test/segmentation/MulticlassAccuracy/objects,0.3866017162799835,700.0
test/segmentation/MulticlassAccuracy/picture,0.6633932590484619,700.0
test/segmentation/MulticlassAccuracy/sofa,0.7304193377494812,700.0
test/segmentation/MulticlassAccuracy/table,0.3956185579299927,700.0
test/segmentation/MulticlassAccuracy/tv,0.7456839680671692,700.0
test/segmentation/MulticlassAccuracy/wall,0.634354829788208,700.0
test/segmentation/macro/MulticlassJaccardIndex,0.353024959564209,700.0
test/segmentation/macro/MulticlassAccuracy,0.6301881074905396,700.0
epoch,3.0,700.0
